Key	ko	en	qps-long
ui.camp.title	베이스캠프 · 제작 / 건설 / 연구	Base Camp · Craft / Build / Research	⟦Básé Cámp · Cráft / Búíld / Réséárcháéíóúüñ¿¡áéíó⟧
ui.restart	다시 시작	Restart	⟦Réstártá⟧
ui.language.switch.ko	한국어 → English	Korean → English	⟦Kóréáñ → Éñglísháéíóú⟧
ui.language.switch.en	English → 한국어	English → Korean	⟦Éñglísh → Kóréáñáéíóú⟧
phase.camp.returned	귀환 후 정비	Post-expedition upkeep	⟦Póst-éxpédítíóñ úpkéépáéíóúüñ⟧
phase.camp.preparing	캠프 준비	Camp preparation	⟦Cámp prépárátíóñáéíóú⟧
phase.exploring.swimming	얕은 연안 수영	Swimming the shallows	⟦Swímmíñg thé shállówsáéíóúüñ⟧
phase.exploring.land	섬 수색	Island expedition	⟦Ísláñd éxpédítíóñáéíóú⟧
phase.result	결과	Result	⟦Résúltá⟧
hud.status.camp	DAY {0}/{1} · {2}\n허기 {3} | 체력 {4}	DAY {0}/{1} · {2}\nHunger {3} | Energy {4}	⟦DÁY {0}/{1} · {2}\nHúñgér {3} | Éñérgy {4}áéíóúüñ¿¡áéíóúüñ⟧
hud.status.exploring	DAY {0}/{1} · {2}\n허기 {3} | 체력 {4} | 일광 {5}	DAY {0}/{1} · {2}\nHunger {3} | Energy {4} | Daylight {5}	⟦DÁY {0}/{1} · {2}\nHúñgér {3} | Éñérgy {4} | Dáylíght {5}áéíóúüñ¿¡áéíóúüñ¿¡áéíó⟧
hud.resources	나무 {0}   돌 {1}   식량 {2}   표류물 {3}\n신호대 {4}/2   도끼 {5}   밧줄 {6}	Wood {0}   Stone {1}   Food {2}   Salvage {3}\nSignal {4}/2   Axe {5}   Rope {6}	⟦Wóód {0}   Stóñé {1}   Fóód {2}   Sálvágé {3}\nSígñál {4}/2   Áxé {5}   Rópé {6}áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóú⟧
controls.placement.keyboard_mouse	{0} · 마우스로 위치 이동\n클릭/Enter 확정 · 우클릭/Esc 취소\nF1 언어	{0} · Move with mouse\nClick/Enter confirm · Right-click/Esc cancel\nF1 language	⟦{0} · Móvé wíth móúsé\nClíck/Enter cóñfírm · Ríght-clíck/Esc cáñcél\nF1 láñgúágéáéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóú⟧
controls.placement.gamepad	{0} · 왼쪽 스틱으로 위치 이동\nA 확정 · B 취소\nY 언어	{0} · Move with left stick\nA confirm · B cancel\nY language	⟦{0} · Móvé wíth léft stíck\nÁ cóñfírm · B cáñcél\nY láñgúágéáéíóúüñ¿¡áéíóúüñ¿¡áéíóú⟧
controls.camp.keyboard_mouse	{0} · A/D 이동 · E 가까운 설비 사용(1.25m)\n클릭 또는 방향키+Enter 행동 · 완공 설비 무료 재배치 · F1 언어	{0} · A/D move · E use nearby facility (1.25m)\nClick or arrows+Enter action · Built facilities move free · F1 language	⟦{0} · A/D móvé · E úsé ñéárby fácílíty (1.25m)\nClíck ór árróws+Enter áctíóñ · Búílt fácílítíés móvé fréé · F1 láñgúágéáéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéí⟧
